name,pokedex_number,percentage_male,type1,type2,classification,capture_rate,base_egg_steps,abilities,experience_growth,base_happiness,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
Bulbasaur,1,88.1,grass,poison,Seed ,45,5120,"['Overgrow', 'Chlorophyll']",1059860,70,45,49,49,65,65,45,1,0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Ivysaur,2,88.1,grass,poison,Seed ,45,5120,"['Overgrow', 'Chlorophyll']",1059860,70,60,62,63,80,80,60,1,0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Venusaur,3,88.1,grass,poison,Seed ,45,5120,"['Overgrow', 'Chlorophyll']",1059860,70,80,100,123,122,120,80,1,0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Charmander,4,88.1,fire,No Secondary Type,Lizard ,45,5120,"['Blaze', 'Solar Power']",1059860,70,39,52,43,60,50,65,1,0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Charmeleon,5,88.1,fire,No Secondary Type,Flame ,45,5120,"['Blaze', 'Solar Power']",1059860,70,58,64,58,80,65,80,1,0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Charizard,6,88.1,fire,flying,Flame ,45,5120,"['Blaze', 'Solar Power']",1059860,70,78,104,78,159,115,100,1,0,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
Squirtle,7,88.1,water,No Secondary Type,Tiny Turtle ,45,5120,"['Torrent', 'Rain Dish']",1059860,70,44,48,65,50,64,43,1,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Wartortle,8,88.1,water,No Secondary Type,Turtle ,45,5120,"['Torrent', 'Rain Dish']",1059860,70,59,63,80,65,80,58,1,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Blastoise,9,88.1,water,No Secondary Type,Shellfish ,45,5120,"['Torrent', 'Rain Dish']",1059860,70,79,103,120,135,115,78,1,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Caterpie,10,50.0,bug,No Secondary Type,Worm ,255,3840,"['Shield Dust', 'Run Away']",1000000,70,45,30,35,20,20,45,1,0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
Metapod,11,50.0,bug,No Secondary Type,Cocoon ,120,3840,['Shed Skin'],1000000,70,50,20,55,25,25,30,1,0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
Butterfree,12,50.0,bug,flying,Butterfly ,45,3840,"['Compoundeyes', 'Tinted Lens']",1000000,70,60,45,50,90,80,70,1,0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
Weedle,13,50.0,bug,poison,Hairy ,255,3840,"['Shield Dust', 'Run Away']",1000000,70,40,35,30,20,20,50,1,0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Kakuna,14,50.0,bug,poison,Cocoon ,120,3840,['Shed Skin'],1000000,70,45,25,50,25,25,35,1,0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Beedrill,15,50.0,bug,poison,Poison Bee ,45,3840,"['Swarm', 'Sniper']",1000000,70,65,150,40,15,80,145,1,0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Pidgey,16,50.0,normal,flying,Tiny Bird ,255,3840,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1059860,70,40,45,40,35,35,56,1,0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Pidgeotto,17,50.0,normal,flying,Bird ,120,3840,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1059860,70,63,60,55,50,50,71,1,0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Pidgeot,18,50.0,normal,flying,Bird ,45,3840,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1059860,70,83,80,80,135,80,121,1,0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Rattata,19,50.0,normal,dark,Mouse ,255,3840,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1000000,70,30,56,35,25,35,72,1,0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Raticate,20,50.0,normal,dark,Mouse ,127,3840,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1000000,70,75,71,70,40,80,77,1,0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spearow,21,50.0,normal,flying,Tiny Bird ,255,3840,"['Keen Eye', 'Sniper']",1000000,70,40,60,30,31,31,70,1,0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Fearow,22,50.0,normal,flying,Beak ,90,3840,"['Keen Eye', 'Sniper']",1000000,70,65,90,65,61,61,100,1,0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Ekans,23,50.0,poison,No Secondary Type,Snake ,255,5120,"['Intimidate', 'Shed Skin', 'Unnerve']",1000000,70,35,60,44,40,54,55,1,0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
